,label,S,Ag,Cr,Fe_Ka,Fe_Kb,Ar_Kb,Ca_Ka,Ni_Ka,Ni_kb,Cu_Ka,Cu_Kb,Zn_Ka,Zn_Kb,Pb_La,Pb_Lb,Ti,Nkr,Kr
28,0.2989690721649485,0.5222488435330497,0.5727457990092066,0.225090743207901,0.43152234325905603,0.4398490605956511,0.4680406212935319,0.5286127633590716,0.48192676038985693,0.2933538467538691,0.07088219168715183,0.08265362472253364,0.4729818094691378,0.4816555877974891,0.4656032577467555,0.5829613862209655,0.4036784572637493,0.4354476723534749,0.43617194181116065
29,0.20103092783505155,0.43085674034361715,0.4402543405979948,0.3077216465976118,0.5021344566895128,0.5089750917192687,0.40704677729645605,0.5305549518869079,0.4293669535918452,0.3223428347106917,0.06957533999899232,0.08403373524511905,0.5373444540730828,0.5444818123108075,0.5460634521542359,0.5207150886330836,0.4618031483303201,0.35258477678703026,0.3515443456604233
30,0.24226804123711343,0.30095340671070864,0.3027407975491189,0.5020914395170053,0.6362788562872093,0.6407246158432489,0.32714039334802975,0.5612176924885246,0.278780518188108,0.3945400306169694,0.09314828172310041,0.11190868569237739,0.6921096593461976,0.6847991427780571,0.5943798317813987,0.4435279132943384,0.576420653643744,0.2463229935265462,0.24703708868775492
31,0.22680412371134018,0.20483543670282828,0.32248697477746463,0.657065237577152,0.6781771414488194,0.6901053750019748,0.1490467697384696,0.46690926141655775,0.26911926706210887,0.4394362769573331,0.09620156643912352,0.11206683946398194,0.7559254739163612,0.7425969562603248,0.6089517577744502,0.3995056180846239,0.6560691192233657,0.17118731110991484,0.16974795920417202
32,0.2628865979381444,0.1888394215517018,0.3276301508681853,0.2826231031110915,0.6661902131472489,0.6729312324772805,0.13643593081406952,0.47772278065588947,0.16878577594397337,0.46168788188571586,0.08551075206900711,0.11003951090850908,0.7846283318271876,0.7948761686413296,0.5541865900539575,0.3742049567622152,0.6036806889689762,0.16746125434793327,0.1644295215290213
33,0.6494845360824743,0.24240205258791142,0.27130774526001317,0.4430073548272653,0.6373211927717493,0.646932262386144,0.2566514374241908,0.3998748250607571,0.2241378453339843,0.45589095492581955,0.10391166174670378,0.11843271729784047,0.7761481018112575,0.7692270775006937,0.5267690556595901,0.38606515146390263,0.6260092272448026,0.1736462289636501,0.1900149474586837
34,0.4381443298969073,0.3530352406423343,0.3524995102245844,0.3526183625527992,0.5591210363933158,0.565526222199371,0.3732462233152965,0.38473113251132807,0.3209451654830312,0.36585660884929505,0.09810893538114251,0.11991943055385931,0.7032931686961987,0.7034984049829373,0.5486875313636629,0.4264235033181425,0.5052262274682642,0.27630655935391524,0.282643244611633
35,0.45360824742268036,0.2745668037775428,0.33653744810813563,0.38040022126333195,0.581048266188499,0.5873208134669691,0.2613549654772637,0.4702568937475442,0.2733198523615984,0.4560819907504191,0.11352404973376398,0.12909572311225248,0.7517315601423202,0.7510674762676592,0.5159164371527691,0.3947927176190371,0.5619041086825847,0.2289503145106581,0.23036574723276854
36,0.44845360824742264,0.30087003958900876,0.3267392217115653,0.4990311855562213,0.5616366676897243,0.5703464763292759,0.21810109706204156,0.3849050428504761,0.36983292549284186,0.41329170974075635,0.10494474931189911,0.12734312199381861,0.7190785225004989,0.7225289024585351,0.46962611707467616,0.42898269575595216,0.46199462842891437,0.2600566447234832,0.2657034115366696
37,0.5154639175257733,0.29813436714738845,0.2901803939810606,0.572657228584446,0.5909719282689814,0.6039147668003958,0.3614074939080401,0.5096071819814789,0.30966248736053015,0.46338944951567373,0.0995222475437993,0.12068692095654454,0.70590578123243,0.7137413881866805,0.6088617411562126,0.4276655130780025,0.5081040270375811,0.21924158164475735,0.2276903705268391
