Concentration,S,Ag,Cr,Fe_Ka,Fe_Kb,Ar_Kb,Ca_Ka,Ni_Ka,Ni_kb,Cu_Ka,Cu_Kb,Zn_Ka,Zn_Kb,Pb_La,Pb_Lb,Ti,Nkr,Kr
18.5,10.637052399190514,11.62382298339215,5.887173654897895,1330.651770333328,268.5855730795605,5.351976049907177,7.2418925925306485,22.193975681958825,26.040708467829607,1884.781990600592,277.2490843103477,1408.2219732066699,229.86737134351324,74.25866769246208,108.41096486093225,7.944339449080966,1318.2753257179174,283.1028081149337
14.43,13.339135383018963,13.339135383018963,5.5398416709903096,950.8443655960768,194.9990794825018,6.0921521699107934,8.25118412023632,26.14269694890291,25.004602587491004,1196.4551707978376,183.2499288691024,1366.8011180103433,235.18385244941337,69.40701936434083,113.03954877905906,7.347403303820984,1742.288573867345,352.3908349930543
16.91,11.660003011191595,11.82729143315991,5.838365926694213,1288.405239473376,266.94213493484114,5.336500660789267,8.013115412282316,22.21590243739231,26.86652056811148,1580.5075530722518,237.3822707730398,1499.9749067367047,249.51068136574267,74.6942804088529,111.24680060892986,7.829098148117168,1399.635311240109,297.5893738394366
19.18,16.466815858913122,15.13076589064431,5.411002371488694,510.571495373927,110.65833862186446,6.997561708807909,9.452553525501854,26.888005611409866,20.05745014863556,1024.716924412973,156.38464878586458,821.3367179932529,149.8380039413474,84.92267610808645,150.6730351715154,5.344199873075253,2174.721934600354,423.9620561809012
18.21,14.300511209863345,13.548731999064453,5.71352200207157,696.6153229309366,146.63035851515252,6.54883223629256,8.419927160947577,24.842126365732234,22.536670119282302,1213.0542283404056,186.89231180460425,1145.6948110528251,197.30027732299777,98.78378829897424,152.4274115406462,6.047646095759966,1816.5491663603864,366.48401216211704
12.74,10.212950890916993,10.747835389295624,5.733293216995955,1474.6264166081637,299.1508708588239,5.39899040550931,7.337946712131849,21.746397887206232,25.18971684551867,1435.4461271019288,211.61367967104604,1432.2535352522314,238.84264366663322,70.67161434827666,101.52776384849396,8.457861130612109,1323.3878246916056,283.7562263898639
15.65,10.190592526898813,10.893392011512525,7.094928130386037,1576.8143103361724,315.2557688124362,5.2040628503539095,7.714061009688592,22.054517160020747,25.836247720085005,1670.1360419002358,245.69535315674102,1484.011311725038,240.82595672763173,70.04568196649988,99.02779404628436,8.199327320493298,1215.8598417027827,267.7164036746373
14.27,12.667547984404022,11.847587811041015,5.5891162837396875,1402.1988319751,278.6525878947104,5.9405277866095485,8.149400090362958,20.850415836945064,17.55384126240399,1279.9912983818338,189.84588095516992,619.7894877758998,112.05006777221841,97.69239779782124,125.75511638414298,8.668150404123228,1571.6963135259962,324.4532204354156
16.65,10.667112522989466,11.804046146129409,5.400434709914729,1124.2099983280386,230.84768433372344,5.283397425179736,7.891656913559605,22.036448754388896,24.57782979434877,1531.2489550242433,225.8986791506437,1225.3970907874937,201.67196121049992,106.57080755726467,138.33807055676309,7.0389566962046475,1373.6164520983114,288.48018725965557
17.71,10.34701791922974,10.514174913078364,5.666622091468307,1229.4229740572346,254.0284835517518,5.248729606846751,7.120887937951324,21.663546402781492,26.093206739769993,1730.7936614067933,252.9753944905055,1458.511634126772,235.75822412409735,114.68641347954,146.47967370954802,7.822947312115539,1252.0225996255683,273.0175180529553
